Coin Name,Invested Amount ($),Returns(%),Final ($)
Ripple,166666.67,380.13,800213.78
Ethereum,166666.67,112.49,354157.42
Litecoin,166666.67,290.39,650649.73
Monero,166666.67,154.54,424227.46
Stellar,166666.67,506.64,1011074.84
Waves,166666.67,175.14,458574.19
TOTAL,1000000.00,269.89,3698897.42
