,0
0,52072.267408545784
1,51061.15542003033
2,53588.93539131896
3,62688.94328795803
4,62688.94328795803
5,63700.055276473475
6,65722.27925350438
7,58138.939339638484
8,59655.60732241166
9,66227.83524776211
10,67744.50323053528
11,70777.83919608162
12,94033.414931937
13,83922.2950467825
14,89988.96697787521
15,77855.6231156898
16,78361.17910994752
17,70272.28320182391
18,68755.61521905073
19,71788.95118459708
20,87461.18700658658
21,91505.63496064839
22,87966.7430008443
23,96055.63890896791
24,99594.53086877201
25,97572.30689174111
26,104144.53481709155
27,100100.08686302975
28,102122.31084006067
29,106166.75879412249
30,80888.95908123619
31,95044.52692045251
32,98077.86288599887
33,110211.2067481843
34,98583.4188802566
,0
0,51390.467352252956
1,49418.6364799676
2,48756.5663382849
3,55519.50873649481
4,54850.60969523752
5,56074.70382385977
6,58850.67926068451
7,51388.968325517075
8,58295.48417331956
9,55519.50873649481
10,56629.89891122471
11,57740.2890859546
12,62181.8497848742
13,66068.21539642882
14,69954.58100798345
15,67178.6055711587
16,68288.99574588859
17,69954.58100798343
18,60516.264522779325
19,57740.28908595458
20,61626.65469750921
21,65513.02030906384
22,66623.41048379373
23,68288.99574588858
24,71620.16627007826
25,70509.77609534837
26,79392.89749318753
27,113814.99290981429
28,136577.99149177715
29,128805.26026866787
30,146016.30797698125
31,134357.21114231733
32,289811.83560450264
33,237068.30230483264
34,219857.2545965193
,0
0,60301.49350945453
1,68434.88872951285
2,62397.42134472223
3,64197.58610062355
4,63636.74558503138
5,64119.7537113166
6,66116.37815333062
7,59842.998112675166
8,58778.93094208127
9,66383.96054001687
10,67460.2840753637
11,69572.49408862431
12,76236.91478865978
13,80622.45680729803
14,84296.41397013472
15,72750.1132102255
16,78363.97557965023
17,78697.04452837404
18,78311.90839507939
19,82764.27891350187
20,87939.32763976508
21,91251.76677364853
22,104671.14424036154
23,95724.8925958862
24,114512.0210492844
25,110038.89522704673
26,116301.27137817946
27,111828.14555594178
28,105565.76940480903
29,118090.52170707453
30,93935.6422669911
31,122563.64752931219
32,115406.64621373192
33,120774.39720041714
34,118090.52170707453
,0
0,54126.71650434478
1,53713.4477492252
2,55627.90560150469
3,59271.71938934305
4,62031.35046909027
5,63634.11870886366
6,64867.55213827902
7,56398.72907629902
