,Coin_Name,Amount_Invested,Final_Amount
0,komodo,41666.66667,195203.08124810917
1,ark,41666.66667,106391.58576902909
2,bitbay,41666.66667,245762.40487635494
3,blocknet,41666.66667,69484.47006639771
4,byteball,41666.66667,127800.76595643176
5,decentraland,41666.66667,343133.7272703361
6,decred,41666.66667,114504.00313355014
7,digixdao,41666.66667,101133.47213392923
8,edgeless,41666.66667,118344.31569529655
9,einsteinium,41666.66667,383867.93539555394
10,factom,41666.66667,87775.81270703895
11,groestlcoin,41666.66667,169765.9474899614
12,monaco,41666.66667,141998.7349892221
13,monacoin,41666.66667,205764.84019910955
14,nav-coin,41666.66667,130928.88857942067
15,nexus,41666.66667,158415.84159683168
16,pivx,41666.66667,142957.35130212118
17,reddcoin,41666.66667,430327.16687238414
18,salt,41666.66667,128415.30055672125
19,siacoin,41666.66667,236674.59959584544
20,singulardtv,41666.66667,59422.04146838677
21,syscoin,41666.66667,129590.19673640681
22,vertcoin,41666.66667,97257.38397402526
23,zcoin,41666.66667,120453.37455883772
