,Coin_Name,Amount_Invested,Final_Amount
0,komodo,41666.66667,184173.66948252093
1,ark,41666.66667,96548.00432271844
2,bitbay,41666.66667,219597.99571609893
3,blocknet,41666.66667,77849.82389351586
4,byteball,41666.66667,132576.9247806022
5,decentraland,41666.66667,288327.27320944075
6,decred,41666.66667,111538.2737835765
7,digixdao,41666.66667,102313.20842826371
8,edgeless,41666.66667,143932.27584563094
9,einsteinium,41666.66667,284001.61519833823
10,factom,41666.66667,99924.2041515008
11,groestlcoin,41666.66667,143108.4846609592
12,monaco,41666.66667,152988.61481299825
13,monacoin,41666.66667,162385.8447618493
14,nav-coin,41666.66667,148544.77540646997
15,nexus,41666.66667,149752.47525950495
16,pivx,41666.66667,178451.17846545458
17,reddcoin,41666.66667,585431.6547230933
18,salt,41666.66667,135132.05829860648
19,siacoin,41666.66667,264628.66427018814
20,singulardtv,41666.66667,85266.46971483655
21,syscoin,41666.66667,143354.3906445364
22,vertcoin,41666.66667,79430.37975318982
23,zcoin,41666.66667,162454.92015725194
