,Coin_Name,Amount_Invested,Final_Amount
0,bitswift,52631.57895,116158.38846908465
1,blitzcash,52631.57895,247234.4338979079
2,breakout-stake,52631.57895,124137.37170908375
3,bytecent,52631.57895,124721.47583644165
4,cannabiscoin,52631.57895,182851.9992757047
5,e-gulden,52631.57895,116259.48966108597
6,eboostcoin,52631.57895,141543.3468075087
7,europecoin,52631.57895,90341.14774290142
8,evergreencoin,52631.57895,128587.6347332069
9,exclusivecoin,52631.57895,195304.40856291453
10,geocoin,52631.57895,139181.44631498435
11,influxcoin,52631.57895,117965.06619538442
12,magi,52631.57895,152864.58094529505
13,project-decorum,52631.57895,95421.70019974883
14,spreadcoin,52631.57895,130685.80373129557
15,syndicate,52631.57895,194074.01694759523
16,synergy,52631.57895,98684.21053124998
17,trustplus,52631.57895,151380.86978392626
18,unbreakablecoin,52631.57895,694656.6754949433
