,Coin_Name,Amount_Invested,Final_Amount
0,aeon,17241.37931,25660.021551210917
1,agoras-tokens,17241.37931,133560.24093445775
2,artbyte,17241.37931,82694.04399420842
3,auroracoin,17241.37931,33375.63438492778
4,bitbean,17241.37931,77927.8654740896
5,bitcrystals,17241.37931,49473.96190603994
6,bitsend,17241.37931,24581.768521188125
7,blackcoin,17241.37931,39638.00472437088
8,blitzcash,17241.37931,80990.59040916247
9,burst,17241.37931,184831.8277659291
10,cloakcoin,17241.37931,59465.165375306125
11,counterparty,17241.37931,42067.96746260491
12,crown,17241.37931,42838.19628561539
13,internet-of-people,17241.37931,51369.37703884772
14,ion,17241.37931,45836.83767780491
15,korecoin,17241.37931,40652.19786191692
16,memetic,17241.37931,67428.0212067327
17,mercury,17241.37931,73033.92286002135
18,monetaryunit,17241.37931,57895.626527942026
19,myriad,17241.37931,137214.46700233186
20,neoscoin,17241.37931,54014.9505655944
21,nexium,17241.37931,47421.97861753875
22,okcash,17241.37931,24834.497393197467
23,omni,17241.37931,58001.58375810857
24,pesetacoin,17241.37931,45861.81447929655
25,pinkcoin,17241.37931,49159.535710276636
26,potcoin,17241.37931,38993.40156339489
27,radium,17241.37931,61172.80342757065
28,rise,17241.37931,74828.8324455913
29,salus,17241.37931,128010.24081670535
30,sequence,17241.37931,44660.57878157811
31,shift,17241.37931,92751.06971875914
32,sibcoin,17241.37931,67517.76783229006
33,sphere,17241.37931,36864.79128782894
34,stealthcoin,17241.37931,65257.604968040265
35,synereo,17241.37931,63275.568692569184
36,transfercoin,17241.37931,37912.49536446235
37,triggers,17241.37931,76630.81722277618
38,trust,17241.37931,33130.11333406465
39,vcash,17241.37931,30582.657444045806
40,viacoin,17241.37931,50047.892719305564
41,whitecoin,17241.37931,75068.44374449395
42,decent,17241.37931,36187.3630743788
43,diamond,17241.37931,33199.233715811104
44,digitalnote,17241.37931,196659.98771542154
45,dopecoin,17241.37931,89031.92362342995
46,energycoin,17241.37931,35147.56108815798
47,expanse,17241.37931,53843.190135698314
48,feathercoin,17241.37931,27608.35390594943
49,florincoin,17241.37931,56322.28677447083
50,foldingcoin,17241.37931,115522.46440008562
51,gambit,17241.37931,50782.79825502872
52,global-currency-reserve,17241.37931,97765.57909190582
53,golos,17241.37931,47866.63580695704
54,gridcoin,17241.37931,50082.038420843535
55,gulden,17241.37931,38185.97355500425
56,databits,17241.37931,34170.51477324013
57,hempcoin,17241.37931,312266.66463176266
