,Coin_Name,Amount_Invested,Final_Amount
0,bitswift,52631.57895,111895.69531425588
1,blitzcash,52631.57895,134328.7790733364
2,breakout-stake,52631.57895,121378.7634488819
3,bytecent,52631.57895,99187.94535024097
4,cannabiscoin,52631.57895,153434.84164249746
5,e-gulden,52631.57895,99995.62437144452
6,eboostcoin,52631.57895,108760.07261401591
7,europecoin,52631.57895,85816.89588448252
8,evergreencoin,52631.57895,114753.73154210024
9,exclusivecoin,52631.57895,131278.9963893971
10,geocoin,52631.57895,113875.728803169
11,influxcoin,52631.57895,83129.7446343313
12,magi,52631.57895,119909.91417543046
13,project-decorum,52631.57895,78651.04837452665
14,spreadcoin,52631.57895,99465.53612497795
15,syndicate,52631.57895,127756.22023754395
16,synergy,52631.57895,86988.30409791664
17,trustplus,52631.57895,144224.3712089146
18,unbreakablecoin,52631.57895,299264.62521322625
