Coin Name,Invested Amount ($),Returns(%),Final ($)
Ripple,100580.46,186.8554850552,288520.566403718
Ethereum,135777.93,415.9752804845,700580.555153506
Litecoin,179456.66,171.3364931264,486931.40792578
Monero,191301.23,152.4370676291,482915.215350387
Stellar,194717.35,506.6448975258,1181242.86837236
Waves,198166.38,175.1445086705,545243.912601156
TOTAL,1000000.01,268.5434488953,3685434.52580691
