,Coin_Name,Amount_Invested,Final_Amount
0,komodo,38952.45,167266.4029411764
1,ark,39493.01,100330.13867313912
2,bitbay,40221.2,196481.65711801592
3,blocknet,40529.61,66848.54982708936
4,byteball,40554.01,119441.2619214685
5,decentraland,40554.96,262806.9546367699
6,decred,40800.85,113236.10244581135
7,digixdao,41319.39,96562.92697015965
8,edgeless,41426.18,139921.5104675228
9,einsteinium,41659.04,280565.1805970757
10,factom,41744.86,100934.38863062156
11,groestlcoin,41758.57,137096.60075258234
12,monaco,41924.87,137389.46962049333
13,monacoin,42119.01,169629.985479452
14,nav-coin,42525.98,164242.31583590148
15,nexus,42596.09,145079.75207920797
16,pivx,42602.46,183176.23373737375
17,reddcoin,42629.56,694778.584254882
18,salt,42637.83,148533.4241803277
19,siacoin,42671.4,285894.51133272884
20,singulardtv,42684.43,77487.39773809617
21,syscoin,42735.36,156590.4270491094
22,vertcoin,42922.31,82693.36179746836
23,zcoin,42936.58,189040.404618238
