,Coin_Name,Amount_Invested,Final_Amount
0,aeon,16519.37,24069.238320312492
1,agoras-tokens,16730.84,152925.34524166922
2,artbyte,16740.49,79885.25833188833
3,auroracoin,16795.14,34817.6123648725
4,bitbean,16889.93,84692.18202182649
5,bitcrystals,16915.12,46616.63048599136
6,bitsend,16967.41,22847.205544554457
7,blackcoin,16987.98,37643.63603701743
8,blitzcash,17000.43,74061.03478206336
9,burst,17053.2,183282.21502659557
10,cloakcoin,17075.57,55856.52927113702
11,counterparty,17106.64,39152.17244573082
12,crown,17111.74,42779.349999999984
13,internet-of-people,17130.91,48149.841687242784
14,ion,17151.14,45039.172520325235
15,korecoin,17151.69,36550.086996805105
16,memetic,17158.28,63921.27820205814
17,mercury,17165.25,71023.53326266335
18,monetaryunit,17169.18,69381.76331754717
19,myriad,17189.93,112448.97419733506
20,neoscoin,17223.48,47394.68097902097
21,nexium,17233.38,41569.64814742897
22,okcash,17242.87,23863.668056249357
23,omni,17251.01,59027.98620041752
24,pesetacoin,17259.9,46078.7104472325
25,pinkcoin,17269.52,45235.95889926289
26,potcoin,17270.48,38207.5091278961
27,radium,17295.48,57016.45525423728
28,rise,17298.03,78487.18692296764
29,salus,17299.64,115049.96470224281
30,sequence,17307.19,45008.48436517914
31,shift,17323.89,81687.83167883208
32,sibcoin,17324.97,60439.017480916016
33,sphere,17328.93,35227.89059210527
34,stealthcoin,17366.4,77606.21476365464
35,synereo,17371,59578.5796165635
36,transfercoin,17371.76,35864.27870967742
37,triggers,17376.98,76471.33358090467
38,trust,17385.94,31609.372435641802
39,vcash,17386.58,31081.152744461397
40,viacoin,17389.99,52290.73381944446
41,whitecoin,17391.18,83533.35728030767
42,decent,17400.66,34708.5394118111
43,diamond,17411.74,35481.25684444444
44,digitalnote,17415.37,187186.66433458275
45,dopecoin,17417.78,82174.08990193957
46,energycoin,17426.17,31800.73031312785
47,expanse,17429.67,72347.73636871504
48,feathercoin,17430.45,25712.955988487276
49,florincoin,17432.84,50289.40749999998
50,foldingcoin,17438.06,101761.18080434555
51,gambit,17444.58,58324.04836206892
52,global-currency-reserve,17450.91,93725.09585201798
53,golos,17453.12,46791.93922282738
54,gridcoin,17460.89,48071.70526441751
55,gulden,17466.97,36998.97379292508
56,databits,17470.81,35498.125864994996
57,hempcoin,17471.15,298892.43716011255
