,Coin_Name,Amount_Invested,Final_Amount
0,bitswift,49936.9,98583.4188802566
1,blitzcash,50467.4,219857.2545965193
2,breakout-stake,51205.75,118090.52170707453
3,bytecent,51748.49,173804.6166390823
4,cannabiscoin,51770.34,167500.74252313768
5,e-gulden,52378.43,126506.93592427605
6,eboostcoin,52446.67,139328.48807571846
7,europecoin,52541.27,92734.04466948702
8,evergreencoin,52710.47,126712.83904106685
9,exclusivecoin,52750.37,175253.9816811997
10,geocoin,52902.78,125446.28613577381
11,influxcoin,52970.01,123504.42024603559
12,magi,53004.96,171129.20367235618
13,project-decorum,53101.44,90948.04725430465
14,spreadcoin,53356.93,277458.04593230126
15,syndicate,53594.78,171490.62161909204
16,synergy,54143.22,113174.36958333333
17,trustplus,54400.1,149704.04132657594
18,unbreakablecoin,54569.71,695790.3647673038
