,Coin_Name,Amount_Invested,Final_Amount
0,bitswift,54220.91,107040.73906467354
1,blitzcash,53459.63,232892.6690010922
2,breakout-stake,53185.88,122657.0905933389
3,bytecent,54884.07,184335.90518182394
4,cannabiscoin,55041.81,178085.44515677248
5,e-gulden,55281.38,133518.28219107664
6,eboostcoin,41186.32,109414.52898730699
7,europecoin,55130.58,97304.11290733407
8,evergreencoin,54990.89,132194.8332711701
9,exclusivecoin,55143.75,183205.5728202979
10,geocoin,55070.66,130586.89490506763
11,influxcoin,54715.11,127573.28041372966
12,magi,55324.05,178616.50344476473
13,project-decorum,36559.12,62615.6385464461
14,spreadcoin,54386.5,282811.8487157545
15,syndicate,54424.57,174145.7533859042
16,synergy,48148.01,100642.71534722218
17,trustplus,53677.63,147715.87073980834
18,unbreakablecoin,55169.11,703433.0065303172
