,Coin_Name,Amount_Invested,Final_Amount
0,komodo,42131.83,180919.03470588228
1,ark,37029.66,94072.11359223304
2,bitbay,41747.39,203937.13682217547
3,blocknet,42771.9,70546.92824207498
4,byteball,41491.28,122201.74631157283
5,decentraland,42774.93,277192.95218392543
6,decred,43003.33,119348.7263473931
7,digixdao,37765.79,88258.20569326858
8,edgeless,41058.1,138678.2795065003
9,einsteinium,43248.99,291273.1712010437
10,factom,37124.05,89761.78840323402
11,groestlcoin,40931.53,134381.36474985487
12,monaco,43060.8,141111.9574952563
13,monacoin,42399.33,170758.94547945203
14,nav-coin,38681.3,149393.53053223598
15,nexus,42461.45,144621.17623762385
16,pivx,42506.56,182763.8960269361
17,reddcoin,42683.62,695659.6566906477
18,salt,41688.2,145225.28688524582
19,siacoin,42423.85,284235.94877606543
20,singulardtv,43372.34,78736.1986656947
21,syscoin,43423.1,159110.43624755205
22,vertcoin,43095.4,83026.83392405063
23,zcoin,43125.27,189871.1655672334
