,0
0,20436.26748884984
1,21262.531673035144
2,20876.941720415336
3,21097.278836198082
4,22529.47008878594
5,24843.00980450479
6,30406.521978019162
7,21923.543020383386
8,22529.47008878594
9,23631.155667699677
10,23796.40850453674
11,29194.66784121405
12,30131.100583290725
13,30296.353420127787
14,26660.79100971245
15,27101.465241277943
16,24126.914178210853
17,23025.228599297116
18,19885.424699392963
19,20711.688883578267
20,22749.80720456868
21,25779.442546581457
22,25889.611104472835
23,24843.00980450478
24,25669.27398869009
25,27982.813704408938
26,32830.23025162938
27,42029.30483555909
28,36686.12977782746
29,34978.517130511165
30,27101.465241277943
31,32389.556020063883
32,37016.63545150158
33,40652.19786191692
